9459,askance,1,,,
11951,asperity,1,,,
5649,assuage,2,,,
6444,athame,2,,,
9114,aubusson,1,,,
8035,avens,1,,,
10373,avuncular,1,,,
7962,bailiwick,1,,,
8764,bairn,1,,,
8883,baize,1,,,
9694,ballsache,1,,,
10200,balmy,1,,,
8571,banter,1,,,
10053,baronet,1,,,
8581,barrow,1,,,
8089,basked,1,,,
4896,basking,2,,,
10275,bawbag,1,,,"a disparaging way to describe an ignorant, obnoxious, or otherwise detestable person, especially a man (Scottish)"
6839,bawled,1,,,
6205,baying,2,,,
8072,beck,1,,,
8170,bedeviled,1,,,
8759,bedraggled,1,,,
8651,bedsit,1,,,
13218,bedstead,1,,,
12804,befuddled,1,,,
11549,beguile,1,,,
10517,belfries,1,,,
8156,bender,1,,,a wild drinking spree.
8702,benison,1,,,
3982,besotted,3,,,
,bespoke,,,,
8419,blag,1,,,
10466,bleated,1,,,
11206,blithely,1,,,
6799,bluster,2,,,
10095,bollard,1,,,
7871,bolshy,1,,,
11393,borstal,1,,,
9256,bougie,1,,,
11845,bouts,1,,,
8148,bowdlerized,1,,,
7454,boyo,1,,,
10934,brazenly,1,,,
10699,breeches,1,,,
8919,bristling,1,,,
7845,broderie,1,,,
6574,brusquely,1,,brusque,abrupt or offhand in speech or manner.
5315,buckling,2,,,
10611,budgerigar,1,,,
8093,bunting,1,,,
13747,burnish,1,,,
8876,burr,1,,,
9058,butterface,1,,,
10226,calumnies,1,,,
4997,camp,2,,,
5422,capacious,2,,,
8970,captious,1,,,
12440,carapace,1,,,
11191,carked,1,,,
8572,carrion,1,,,
14064,castigate,1,,,
9137,cawed,1,,,
8386,cede,1,,,
8543,cellarium,1,,,
7444,cerulean,1,,,
13826,chaff,1,,,Light-hearted joking; banter. worthless things; rubbish.
9263,chagrin,1,,,
12639,chancer,1,,,
12342,chasm,1,,,
7584,chicanery,1,,,
9590,chignon,1,,,
14308,chinking,1,,,
12015,chinoiserie,1,,,
6844,chirrup,1,,,
11873,chortled,1,,,
10777,chrysoberyl,1,,,
9153,chunder,1,,,
13992,chuntered,1,,,
10691,churlish,1,,,
8266,cinch,1,,,
7944,clamber,1,,,
9291,clincher,1,,,
9534,clodhopping,1,,,
9682,cloying,1,,,
6867,cocker,2,,,
9649,coltish,1,,,
8378,comeuppance,1,,,
11129,compunction,1,,,
4315,conduit,2,,,
8976,consignment,1,,,
10126,consternation,1,,,
9084,contrite,1,,,
7549,convivial,1,,,
11786,copse,1,,,
10756,coronet,1,,,
7647,crabbed,1,,,
9287,crampons,1,,,
11965,craven,1,,,
5379,credence,2,,,
11092,crenellated,1,,,
4743,creosote,2,,,
10237,creosoted,1,,,
9391,crestfallen,1,,,
10754,cribbage,1,,,
1290,croaked,12,,,
9458,cuckold,1,,,
8445,curmudgeon,1,,,
7026,curtness,1,,curt,rudely brief.
5424,dank,2,,,
12884,dapper,1,,,
12896,dapple,1,,,
10367,dawdled,1,,,
6533,dearth,1,,,
6721,debouched,1,,,
11272,deferential,1,,,
7620,defray,1,,,
9207,dejection,1,,,
8376,demob,1,,,
6835,denuded,2,,,
8873,derision,1,,,
10310,despoliation,1,,,
7721,desultory,1,,,
3866,detritus,3,,,
11127,diddling,1,,,
4239,diffidently,3,,diffident,modest or shy because of a lack of self-confidence.
7733,dilating,1,,,
9393,dint,1,,,
8152,dirge,1,,,
6211,discomposed,1,,,
10851,disoblige,1,,,
9735,dissimulating,1,,,
9763,dithered,1,,,
9328,dithering,1,,,
10175,doddery,1,,,
4355,doleful,2,,,
8448,doolally,1,,,
11505,dosh,1,,,
9461,dossing,1,,,
9666,dost,1,,,
5617,dour,2,,,
9815,dredge,1,,,
10928,dredged,1,,,
5064,dregs,2,,,
5179,dross,2,,,
11504,dullards,1,,,
13640,duplicitous,1,,,
11600,ebbing,1,,,
9681,ebullience,1,,,
12382,eddy,1,,,
4886,edifice,2,,,
7211,effusions,2,,,
4320,egged,3,,,
12763,eked,1,,,
12752,elide,1,,,
12826,elms,1,,,
4206,emaciated,3,,,
8619,embers,1,,,
11386,embroil,1,,,
7304,emery,1,,,
5877,endsor,2,,,
6956,enmities,1,,,
11114,enmity,1,,,
8510,ensconced,1,,,
9644,equable,1,,,
7616,equanimity,1,,,
3777,errant,3,,,
8953,erudition,1,,,
6755,etiolated,1,,,
10859,evincing,1,,,
7532,excoriated,1,,,
7285,excrescence,1,,,
8759,exculpation,1,,,"the act of freeing from guilt or blame. pardon, forgiveness - the act of excusing a mistake or offense."
9671,existences,1,,,
8787,exophthalmic,1,,,
10593,expound,1,,,
8141,extolled,1,,,
4606,extricated,2,,,
11946,facetiousness,1,,facetious,treating serious issues with deliberately inappropriate humour; flippant.
3779,feckless,3,,,
14347,felled,1,,,
11702,ferried,1,,,
9181,feted,1,,,
9274,fetid,1,,,
7758,fibbing,1,,,
9951,filched,1,,,
9295,firth,1,,,
9726,flanking,1,,,
12096,flay,1,,,
7906,fledglings,1,,,
8698,flitted,1,,,
5367,flitting,2,,,
10570,flounced,1,,,
10342,floundering,1,,,
9941,fobbed,1,,,
11855,foraging,1,,,
7765,forays,1,,,
4626,forbearance,2,,,
14112,fracas,1,,,
11315,fretting,1,,,
5554,frith,2,,,
10285,froideur,1,,,
11635,frolics,1,,,
12025,frontages,1,,,
10038,frumpiest,1,,,
10840,fug,1,,,
9908,furore,1,,,
7910,furtive,1,,,
8959,furtively,1,,,
11486,gab,1,,,
9040,gabbled,1,,,
4313,gabbling,3,,,
7630,gaff,1,,,
9467,gaffe,1,,,
11523,gaggle,1,,,
10729,galleon,1,,,
12261,galore,1,,,
3997,gamboling,3,,,
8306,gamine,1,,,
9652,gangling,1,,,
7753,garnering,1,,,
9912,garrulity,1,,,
10732,garrulous,1,,,
2539,gaudy,5,,,
3217,gaunt,4,,,
8322,gawping,1,,,
7341,genteel,1,,,
9838,ghoulishness,1,,ghoulish,morbidly interested in death or disaste
5338,gimcrack,3,,,
5861,gimlet,2,,,
11595,girder,1,,,
7723,glib,1,,,
8220,gnat,1,,,
7831,goad,1,,,
11143,goring,1,,,
6085,gorn,2,,,
11067,gouged,1,,,
8500,graft,1,,,
12989,grating,1,,,
8753,greige,1,,,
3891,grille,3,,,
9338,gripe,1,,,
5123,gripped,2,,,
7640,grouse,1,,,
9411,gruff,1,,,
7722,gudgeon,1,,,
4677,guff,3,,,
10590,guffawing,1,,,
9195,gunnels,1,,,
3142,hackney,4,,,
6203,haggard,2,,,
9888,hapless,1,,,
11904,harangued,1,,,
14166,harked,1,,,
9721,harping,1,,,
2872,harried,4,,,
10245,haughty,1,,,
9148,hears,1,,,
13625,hessian,1,,,
8233,heyday,1,,,
10275,hireling,1,,,
7209,hither,1,,,
10238,hobbling,1,,,
9008,hock,1,,,
1757,holdall,8,,,
10843,homely,1,,,
9132,hone,1,,,
10553,hoodies,1,,,
10205,hophead,1,,,
9836,hurtling,1,,,
2549,hussars,7,,,
10475,imbrued,1,,,
9609,impecunious,1,,,
11658,impertinent,1,,,
6591,impervious,1,,,
8695,impinge,1,,,
11532,implacable,1,,,
6906,importuning,1,,,
6914,imprecations,1,,,
8607,impudent,1,,,
1267,impudicus,12,,,
9920,impugned,1,,,
10937,inauspiciously,1,,inauspicious,not conducive to success; unpromising.
12031,incendiary,1,,,
7058,inchoate,1,,,
3567,incongruous,3,,,
4196,incredulously,3,,,
10529,indelible,1,,,
11951,ineffectual,1,,,
9710,inept,1,,,
6623,insalubrious,2,,,
9611,insipid,1,,,
6644,insouciance,2,,,
7382,insouciantly,1,,,
14285,intaglios,1,,,
7378,intoned,1,,,
9716,intrepid,1,,,
11049,inundated,1,,,
3717,inured,3,,,
12244,inveigle,1,,,
10788,inveterate,1,,,
6023,irascible,2,,,
10967,ire,1,,,
9347,irked,1,,,
3737,irksome,3,,,
10772,itinerant,1,,,
Order,IZBRANE,Occurrences,,,
1676,jago,9,,,
11034,jarred,1,,,
9661,jeered,1,,,
5389,jettisoned,2,,,
11598,juddering,1,,,
3855,jutting,3,,,
3048,kairos,4,,,
2156,kerb,6,,,
8475,kilter,1,,,
13075,kip,1,,,
4060,knackered,3,,,
9317,laburnum,1,,,
11389,lackadaisical,1,,,
8030,lair,1,,,
4516,laminitis,3,,,
7141,languid,1,,,
11615,larcenous,1,,larceny,theft of personal property. In English law larceny was replaced as a statutory crime by theft in 1968.
8997,lascivious,1,,,
9653,lassitude,1,,,
4993,latterly,2,,,
11502,lauding,1,,,
5136,leda,2,,,
8065,leer,1,,,
8505,legatees,1,,,
8706,leporine,1,,,
8255,lilt,1,,,
10611,lintel,1,,,
3062,lithe,4,,,
8485,lobe,1,,,
14124,lofty,1,,,
13138,lop,1,,,
7245,loquacious,1,,,
14319,louche,1,,,
9464,lubricious,1,,,
11275,lucent,1,,,
8746,lugs,1,,,
7420,lugubriously,1,,lugubrious,looking or sounding sad and dismal.
8664,lurid,1,,,
10610,lurk,1,,,
10960,lustre,1,,,
9330,maelstrom,1,,,
7481,magnanimous,1,,,
5019,mancunian,3,,,
10247,mandibles,1,,,
9907,manger,1,,,
11497,mangy,1,,,
11026,mantels,1,,,
7617,mawkish,1,,,
12351,mellifluous,1,,,
10713,mesmeric,1,,,
11306,mete,1,,,
8169,mewling,1,,,
6580,miasma,1,,,
8079,midriff,1,,,
11494,mien,1,,,
7630,miffed,1,,,
9554,mire,1,,,
10580,miser,1,,,
6241,mishap,1,,,
8998,missive,1,,,
5965,mollified,2,,,
8656,moniker,1,,,
5899,moorcock,2,,,
9916,moot,1,,,
10239,mooted,1,,,
7649,morass,1,,,
8648,mordant,1,,,
6920,mores,1,,,
6242,moribund,2,,,
4707,morose,2,,,
6988,motes,1,,,
9247,motley,1,,,
8789,mouldering,1,,,
2772,mucking,5,,,
11340,musing,1,,,
3051,muster,4,,,
11174,muzzy,1,,,
13608,nabbed,1,,,
6522,niggling,2,,,
7990,ninepins,1,,,
13008,nisi,1,,,
7325,nonce,1,,,
3004,nondescript,4,,,
8553,obfuscating,1,,,
10228,obsequious,1,,,
8019,obstreperous,1,,,
13772,obtusely,1,,obtuse,annoyingly insensitive or slow to understand.
12692,occluded,1,,,
13275,och,1,,,
5026,officious,2,,,
8855,omerta,1,,,
4457,onerous,2,,,
4607,overwrought,2,,,
5806,pallor,2,,,
7540,pang,1,,,
9038,paramour,1,,,
7660,paraphilias,1,,paraphilia,"a condition characterized by abnormal sexual desires, typically involving extreme or dangerous activities."
10251,paroxysm,1,,,
1524,paunchy,10,,,
11995,peccadillos,1,,,
7533,pecuniary,1,,,
5396,pediments,2,,,
8960,pellucid,1,,,
9706,pelted,1,,,
3542,penury,3,,,
9571,peregrinations,1,,,
8129,perfidy,1,,,
5243,perfunctory,2,,,
9056,pertinacious,1,,,
7434,pettishly,1,,pettish,(of a person or their behaviour) childishly bad-tempered and petulant.
3430,piebald,5,,,
10796,pilfering,1,,,
8407,pillion,1,,,
11752,piquancy,1,,,
4183,placate,3,,,
10115,plaintive,1,,,
9923,plangent,1,,,
9086,plaudits,1,,,
10875,pollock,1,,,
7608,polloi,1,,hoi-polloi,the masses; the common people.
4116,portcullis,4,,,
10779,portentously,1,,portentous,of or like a portent; of momentous significance.
6120,predilection,2,,,
5904,privations,2,,,
11466,profligacy,1,,,
5704,profligate,2,,,
9675,propitiation,1,,,
7482,protuberant,2,,,
9319,prurient,1,,,
7920,pugnacious,1,,,
11323,punctiliously,1,,punctilious,showing great attention to detail or correct behaviour.
8341,punt,1,,,
12106,pusillanimous,1,,,
10925,quaffing,1,,,
7255,querulous,1,,,
2880,quicklime,5,,,
9418,quiescent,1,,,
9258,raiment,1,,,
9562,ramshackle,1,,,
10620,rancour,1,,,
11452,rapacious,1,,,
5817,rapport,2,,,
4454,raucous,3,,,
7319,recalcitrant,1,,,
11833,recce,1,,,
7620,recceing,1,,,
