en-uk	en-uk	abscond	Leave hurriedly and secretly, typically to escape from custody or avoid arrest.
en-uk	en-uk	accede	Agree to a demand, request, or treaty.
en-uk	en-uk	acolyte	A person assisting a priest in a religious service or procession.
en-uk	en-uk	acrimony	Bitterness or ill feeling.
en-uk	en-uk	addled	Unable to think clearly; confused.
en-uk	en-uk	admonitory	Giving or conveying a warning or reprimand.
en-uk	en-uk	translator	A person who translates from one language into another, especially as a profession.
